"","X","Package","LibPath","Version","Priority","Built"
"87",87,"rvest","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.3.2",NA,"3.3.0"
"88",88,"scales","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.5.0",NA,"3.3.2"
"89",89,"selectr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.3-1",NA,"3.3.2"
"90",90,"spatial","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","7.3-11","recommended","3.3.3"
"91",91,"splines","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"92",92,"stats","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"93",93,"stats4","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"94",94,"stringi","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.1.5",NA,"3.3.2"
"95",95,"stringr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.2.0",NA,"3.3.2"
"96",96,"styler","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.0.0",NA,"3.3.2"
"97",97,"survival","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","2.40-1","recommended","3.3.3"
"98",98,"tcltk","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"99",99,"testthat","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.0.2",NA,"3.3.0"
"100",100,"tibble","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.3.4",NA,"3.3.2"
"101",101,"tidyr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.7.2",NA,"3.3.2"
"102",102,"tidyselect","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.2.2",NA,"3.3.2"
"103",103,"tidyverse","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.1.1",NA,"3.3.2"
"104",104,"tools","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"105",105,"usethis","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.2.0",NA,"3.3.3"
"106",106,"utils","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","3.3.3","base","3.3.3"
"107",107,"viridisLite","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.2.0",NA,"3.3.2"
"108",108,"whisker","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","0.3-2",NA,"3.3.0"
"109",109,"withr","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","2.1.1",NA,"3.3.2"
"110",110,"xml2","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","1.1.1",NA,"3.3.2"
"111",111,"yaml","/Library/Frameworks/R.framework/Versions/3.3/Resources/library","2.1.16",NA,"3.3.2"
